date,daily_return,nav,cumulative_return
2024-01-31,0.0,1.0,0.0
2024-02-01,0.0,1.0,0.0
2024-02-02,0.0,1.0,0.0
2024-02-05,0.0,1.0,0.0
2024-02-06,0.0,1.0,0.0
2024-02-07,0.0,1.0,0.0
2024-02-08,0.0,1.0,0.0
2024-02-19,0.0,1.0,0.0
2024-02-20,0.0,1.0,0.0
2024-02-21,0.0,1.0,0.0
2024-02-22,0.0,1.0,0.0
2024-02-23,0.0,1.0,0.0
2024-02-26,0.0,1.0,0.0
2024-02-27,0.0,1.0,0.0
2024-02-28,0.0,1.0,0.0
2024-02-29,0.0,1.0,0.0
2024-03-01,0.0,1.0,0.0
2024-03-04,0.0,1.0,0.0
2024-03-05,0.0,1.0,0.0
2024-03-06,0.0,1.0,0.0
2024-03-07,0.0,1.0,0.0
2024-03-08,0.0,1.0,0.0
2024-03-11,0.0,1.0,0.0
2024-03-12,0.0,1.0,0.0
2024-03-13,0.0,1.0,0.0
2024-03-14,0.0,1.0,0.0
2024-03-15,0.0,1.0,0.0
2024-03-18,0.0,1.0,0.0
2024-03-19,0.0,1.0,0.0
2024-03-20,0.0,1.0,0.0
2024-03-21,0.0,1.0,0.0
2024-03-22,0.0,1.0,0.0
2024-03-25,0.0,1.0,0.0
2024-03-26,0.0,1.0,0.0
2024-03-27,0.0,1.0,0.0
2024-03-28,0.0,1.0,0.0
2024-03-29,0.0,1.0,0.0
2024-04-01,0.0,1.0,0.0
2024-04-02,0.0,1.0,0.0
2024-04-03,0.0,1.0,0.0
2024-04-08,0.0,1.0,0.0
2024-04-09,0.0,1.0,0.0
2024-04-10,0.0,1.0,0.0
2024-04-11,0.0,1.0,0.0
2024-04-12,0.0,1.0,0.0
2024-04-15,0.0,1.0,0.0
2024-04-30,0.020401925527026098,1.020401925527026,0.02040192552702602
2024-05-06,0.05062212811539887,1.0720568425302548,0.0720568425302548
2024-05-07,0.0036235843835988506,1.0759415309631777,0.07594153096317768
2024-05-08,-0.0029340561653574556,1.072784658080691,0.07278465808069101
2024-05-09,-0.0031147830234802944,1.0694431666398512,0.06944316663985117
2024-05-10,-0.0010665010448116365,1.068302604385263,0.06830260438526303
2024-05-13,0.0019880904417218523,1.0704264865819078,0.07042648658190775
2024-05-14,-0.008147085549612791,1.0617056304211536,0.06170563042115362
2024-05-15,-0.006448831825051177,1.0548588693628576,0.054858869362857554
2024-05-16,-0.006623007585444282,1.047872531069494,0.04787253106949407
2024-05-17,-0.001410922708565777,1.0463940639197258,0.04639406391972578
2024-05-20,0.00038133277186209015,1.0467930882685803,0.04679308826858031
2024-05-21,-0.00916424463134383,1.0372000203292873,0.037200020329287264
2024-05-22,-0.011686602663632901,1.025078675808987,0.025078675808986928
2024-05-23,-0.006900290487458078,1.018005335173406,0.018005335173405967
2024-05-24,-0.00313230720837743,1.0148166297238757,0.014816629723875652
2024-05-27,0.01106118385095288,1.0260417030402558,0.02604170304025577
2024-05-28,-0.010970165046685968,1.0147858562131213,0.01478585621312134
2024-05-29,-0.002712096142599686,1.012033659406921,0.012033659406921027
2024-05-30,-0.0019414558619158322,1.0100688407264093,0.010068840726409345
2024-05-31,-0.012068468079520417,0.9978788571639845,-0.0021211428360154994
2024-06-03,-0.009439165521617717,0.988459713460691,-0.011540286539309053
2024-06-04,-0.0007085654168974159,0.9877593250917364,-0.012240674908263638
2024-06-05,-0.01985624272165856,0.9681461361821332,-0.03185386381786681
2024-06-06,-0.004315901241054418,0.9639677130714627,-0.03603228692853733
2024-06-07,0.02054843851170396,0.9837757443507796,-0.016224255649220365
2024-06-11,0.027164992966248285,1.0105000055264342,0.010500005526434153
2024-06-12,0.0002625392712338084,1.0107653014614668,0.010765301461466814
2024-06-13,-0.00011464017614226663,1.0106494271492688,0.010649427149268753
2024-06-14,-0.005587600164965112,1.0050023222434077,0.005002322243407686
2024-06-17,0.0008249339301134033,1.005831382758869,0.005831382758868964
2024-06-18,-0.003781896417644171,1.002027432655659,0.0020274326556590783
2024-06-19,0.0012447739219209495,1.0032747302728784,0.00327473027287839
2024-06-20,-0.020724311932291406,0.9824825518089177,-0.017517448191082252
2024-06-21,-0.007038230270878287,0.9755676133721666,-0.024432386627833425
2024-06-24,-0.020696644819653144,0.9553766369806461,-0.04462336301935388
2024-06-25,-0.010895432720490851,0.9449673951096946,-0.05503260489030537
2024-06-26,0.01659317684159407,0.9606474062062903,-0.0393525937937097
2024-06-27,-0.015894690460705574,0.9453782130427616,-0.054621786957238405
2024-06-28,0.028867984441645112,0.9726693765883503,-0.027330623411649713
2024-07-01,0.010109405167613895,0.9825024854104123,-0.017497514589587704
2024-07-02,0.005613517704698912,0.9880177805071744,-0.01198221949282563
2024-07-03,-0.009034211558664705,0.9790918188543503,-0.02090818114564974
2024-07-04,-0.004291512198514091,0.9748900343702714,-0.02510996562972856
2024-07-05,-0.003237059676191523,0.9717342571512905,-0.02826574284870953
2024-07-08,0.015760269079595223,0.9870490505178554,-0.012950949482144591
2024-07-09,0.008688949926860357,0.9956254702931601,-0.004374529706839936
2024-07-10,-0.009270858911974213,0.9863951670289042,-0.013604832971095826
2024-07-11,0.001421171461502091,0.9877970036900492,-0.012202996309950809
2024-07-12,0.006240781536707641,0.9939616289926931,-0.006038371007306864
2024-07-15,0.004180879437540107,0.9981172627290527,-0.0018827372709473433
2024-07-16,0.007916183518394782,1.0060185421536936,0.0060185421536935735
2024-07-17,-0.007143397013563347,0.9988321523040835,-0.0011678476959164907
2024-07-18,0.009318623573305686,1.00813989314432,0.008139893144319954
2024-07-19,-0.006095046753575928,1.0019952333614603,0.001995233361460347
2024-07-22,-0.003498414111301429,0.9984898390976118,-0.0015101609023882023
2024-07-23,-0.001964059302316157,0.996528745840864,-0.0034712541591359614
2024-07-24,0.0071107108974636235,1.0036147736535503,0.0036147736535503405
2024-07-25,-0.0045736860217848955,0.9990245547920343,-0.0009754452079656639
2024-07-26,-0.008877315810909493,0.9901558983162922,-0.009844101683707751
2024-07-29,0.0074220652515863735,0.9975049000028389,-0.002495099997161132
2024-07-30,-0.008627824396178308,0.9888986028912871,-0.01110139710871294
2024-07-31,-0.004572615211514421,0.984376750097061,-0.015623249902938952
2024-08-01,0.016925816842190813,1.001038130672915,0.0010381306729150275
2024-08-02,-0.009893057244891269,0.9911348031418489,-0.008865196858151125
2024-08-05,-0.020246625406052713,0.9710676680557341,-0.02893233194426592
2024-08-06,-0.022062451541552307,0.9496435346856863,-0.0503564653143137
2024-08-07,-0.007169409981145082,0.9428351508495808,-0.057164849150419195
2024-08-08,-0.009167741303411315,0.934191482094829,-0.06580851790517095
2024-08-09,0.0015291169792805768,0.9356199701519996,-0.0643800298480004
2024-08-12,-0.0034372567494686643,0.932404004094657,-0.06759599590534304
2024-08-13,0.009640210151773411,0.9413925746404844,-0.058607425359515575
2024-08-14,-0.003029841365353603,0.938540304476802,-0.061459695523197966
2024-08-15,0.006748119511317397,0.9448736866175999,-0.05512631338240015
2024-08-16,-0.014041766574645686,0.9316059908675905,-0.06839400913240945
2024-08-19,-0.0009771911174094369,0.9306956337683893,-0.06930436623161074
2024-08-20,-0.0006475176508661918,0.9300929919179401,-0.06990700808205985
2024-08-21,0.0023803528785015793,0.9323069414485262,-0.06769305855147378
2024-08-22,0.0013387028124283607,0.9335550233730898,-0.06644497662691018
2024-08-23,-0.0022029801505426107,0.9314984201871596,-0.06850157981284044
2024-08-26,-0.0034629494921857742,0.9282726882060006,-0.07172731179399938
2024-08-27,-0.0023409222334068724,0.9260996740315148,-0.07390032596848517
2024-08-28,-0.000556946114921586,0.9255838864160328,-0.07441611358396716
2024-08-29,-0.003318410987482645,0.922512418677513,-0.07748758132248701
2024-08-30,0.025963177856515033,0.9464637726784811,-0.05353622732151886
2024-09-02,-0.02242375286425804,0.9252405029449656,-0.07475949705503437
2024-09-03,0.01371509033248095,0.937930260022126,-0.06206973997787402
2024-09-04,-0.024032796523085917,0.9153891729301692,-0.08461082706983081
2024-09-05,0.007851246594405259,0.9225761190566926,-0.07742388094330743
2024-09-06,-0.019403297327233757,0.9046751003116301,-0.09532489968836988
2024-09-09,-0.001423233329402995,0.9033875365565857,-0.09661246344341434
2024-09-10,0.0022364018282458706,0.9054078740949554,-0.09459212590504462
2024-09-11,-0.010265770769855864,0.896113164406274,-0.10388683559372602
2024-09-12,-0.0010309447992846725,0.8951893211998588,-0.10481067880014117
2024-09-13,-0.008757829206300726,0.8873494060174861,-0.11265059398251387
2024-09-18,-0.002436871041807054,0.8851870499459975,-0.1148129500540025
2024-09-19,0.027699040014805654,0.9097058814630394,-0.09029411853696057
2024-09-20,0.002880052369009301,0.9123258820420488,-0.08767411795795121
2024-09-23,-0.0016389885885203627,0.91083059033237,-0.08916940966762998
2024-09-24,0.025990983829653883,0.9345039734772528,-0.06549602652274722
2024-09-25,0.01306421885676956,0.9467125379092803,-0.05328746209071966
2024-09-26,0.01719775969078343,0.9629938726324959,-0.03700612736750408
2024-09-27,0.037934807127260675,0.9995248594555435,-0.00047514054445652043
2024-09-30,0.0822075307058571,1.0816933300305027,0.08169333003050272
2024-10-08,0.06251542581093224,1.1493158491542048,0.14931584915420482
2024-10-09,-0.04643860196885755,1.0959432278988332,0.09594322789883325
2024-10-10,-0.013754056966256648,1.0808695623105296,0.08086956231052955
2024-10-11,-0.0034973739580154597,1.0770893572512932,0.07708935725129318
2024-10-14,0.012921708781351038,1.0910071922571871,0.09100719225718712
2024-10-15,-0.008149774662377452,1.082115729485258,0.08211572948525792
2024-10-16,-0.005335296918958066,1.0763423207677791,0.07634232076777914
2024-10-17,0.0021281407138481257,1.0786329286826428,0.07863292868264282
2024-10-18,0.007137364984438888,1.086331525578885,0.08633152557888502
2024-10-21,0.0029468490869167586,1.0895327806431259,0.08953278064312586
2024-10-22,-0.004150537301415258,1.085010634195952,0.085010634195952
2024-10-23,-0.002168662315638037,1.0826576125215046,0.08265761252150461
2024-10-24,0.0031188055502270108,1.0860342110924321,0.08603421109243214
2024-10-25,-0.00021878910461741176,1.0857965986398035,0.08579659863980349
2024-10-28,0.00765418675742966,1.0941074885863744,0.09410748858637441
2024-10-29,0.0013522383642620374,1.0955869827070674,0.09558698270706745
2024-10-30,0.0011901486743673307,1.0968908941021904,0.09689089410219043
2024-10-31,0.04200738707248717,1.1429684144670276,0.14296841446702757
2024-11-01,-0.029719823448764286,1.1089995949815534,0.10899959498155343
2024-11-04,0.006992294134140384,1.116754046344307,0.11675404634430708
2024-11-05,0.022659805303587598,1.1420594756064626,0.1420594756064626
2024-11-06,0.0143559616154077,1.1584548376007815,0.1584548376007815
2024-11-07,0.0006051048659433076,1.1591558242599893,0.1591558242599893
2024-11-08,0.014477278426762741,1.175937245867805,0.17593724586780501
2024-11-11,-0.008013938432535027,1.1665133571788955,0.16651335717889548
2024-11-12,-0.01575110781535775,1.1481394795219158,0.14813947952191575
2024-11-13,0.008334708614425129,1.1577088875324488,0.15770888753244883
2024-11-14,-0.005792911936093964,1.15100238189934,0.15100238189934
2024-11-15,0.003599701835620556,1.155145647286267,0.1551456472862669
2024-11-18,-0.004254541885673155,1.1502310317458344,0.1502310317458344
2024-11-19,0.001820285873204893,1.152324781043843,0.15232478104384306
2024-11-20,0.013530349845509815,1.1679161384670167,0.1679161384670167
2024-11-21,0.005705842270949475,1.1745800837388058,0.17458008373880585
2024-11-22,-0.010701402647324032,1.1620104293211893,0.16201042932118925
2024-11-25,0.0023017104678943624,1.1646850408901603,0.16468504089016034
2024-11-26,-0.0018000375242344115,1.1625885641126437,0.16258856411264366
2024-11-27,-0.004405514798886902,1.1574667629884288,0.15746676298842877
2024-11-28,0.005736315173579519,1.1641063571438732,0.16410635714387323
2024-11-29,0.013703457688108572,1.1800586393534525,0.18005863935345245
2024-12-02,0.023235226323633028,1.2074775689139885,0.2074775689139885
2024-12-03,-0.00837992654231739,1.1973589955849933,0.19735899558499326
2024-12-04,-0.02896176637933457,1.162681364082666,0.1626813640826661
2024-12-05,-0.00896362758638711,1.1522595213333964,0.15225952133339637
2024-12-06,-0.0023860189550771785,1.1495102082743267,0.1495102082743267
2024-12-09,0.011195426516563642,1.1623794653411017,0.1623794653411017
2024-12-10,0.0004115836942018623,1.162857881775511,0.16285788177551108
2024-12-11,0.005271848117450795,1.168988291910412,0.16898829191041198
2024-12-12,0.012931311433777643,1.1841048435755452,0.18410484357554524
2024-12-13,0.003372696713544354,1.1880984700899644,0.1880984700899644
2024-12-16,-0.008986415208123327,1.1774217239295999,0.17742172392959987
2024-12-17,-0.018273370287932057,1.155906260783179,0.15590626078317893
2024-12-18,-0.00023890109759790472,1.1556301135087574,0.15563011350875744
2024-12-19,-0.00494614190022661,1.1499142029831682,0.14991420298316815
2024-12-20,0.004962737652695821,1.1556209254956824,0.1556209254956824
2024-12-31,-0.013795307288585527,1.1396787797193497,0.13967877971934972
2025-01-02,0.009232835193964232,1.150201246066557,0.15020124606655694
2025-01-03,-0.043889067340072696,1.0997199861233062,0.09971998612330624
2025-01-06,0.005335131309218822,1.1055871366526464,0.10558713665264641
2025-01-07,0.019981737332879397,1.1276786884158498,0.12767868841584984
2025-01-08,0.0016183114677867088,1.129503623769292,0.12950362376929192
2025-01-09,-0.002893387961742872,1.126235531581533,0.1262355315815329
2025-01-10,-0.010470366051421688,1.1144434333057567,0.11444343330575668
2025-01-13,-0.006298286018621991,1.107424349811222,0.10742434981122195
2025-01-14,0.01285659720118524,1.1216620586075292,0.12166205860752921
2025-01-15,-0.004147439885301241,1.1170100326478314,0.11701003264783139
2025-01-16,0.0030046503135007013,1.12036625719261,0.12036625719261007
2025-01-17,-0.0011238483307673963,1.119107135444616,0.11910713544461604
2025-01-20,0.00402090509708144,1.1236069590297055,0.12360695902970553
2025-01-21,0.0008607806821272935,1.1245741381943422,0.12457413819434215
2025-01-22,-0.001749089163154749,1.1226071577560623,0.12260715775606235
2025-01-23,0.0017094607286449962,1.1245262106059422,0.12452621060594216
2025-01-24,0.002839642007497578,1.127719462472111,0.12771946247211097
2025-01-27,0.014497755148644023,1.1440688631153921,0.14406886311539213
2025-02-05,-0.0001881940288710345,1.1438535561867365,0.14385355618673645
2025-02-06,0.011330738924684456,1.1568142621999602,0.1568142621999602
2025-02-07,0.019772411627552274,1.1796872699688008,0.1796872699688008
2025-02-10,0.002040074553957848,1.1820939199498923,0.18209391994989232
2025-02-11,0.004097068135665745,1.1869370392826832,0.18693703928268324
2025-02-12,0.020124953076678265,1.2108240915032187,0.21082409150321868
2025-02-13,-0.0013213718193743468,1.2092241426704868,0.20922414267048683
2025-02-14,-0.01890709163081784,1.1863612310028189,0.18636123100281887
2025-02-17,0.006476348663530513,1.1940445199756884,0.1940445199756884
2025-02-18,-0.013050080658089271,1.178462142680656,0.17846214268065608
2025-02-19,0.01410045700634475,1.1950789974571296,0.19507899745712964
2025-02-20,0.007659561386640413,1.204232778400037,0.20423277840003706
2025-02-21,0.0015900519785308,1.2061475711119436,0.2061475711119436
2025-02-24,0.0033879658611729122,1.2102339579064074,0.21023395790640742
2025-02-25,-0.005783147301733997,1.203234996658274,0.20323499665827405
2025-02-26,0.011661034899371049,1.2172659619464508,0.21726596194645076
2025-02-27,0.011038274255660873,1.2307024774764965,0.23070247747649653
2025-02-28,0.001451092908777673,1.2324883411143777,0.23248834111437766
2025-03-03,0.0018116009155193526,1.2347211181215074,0.23472111812150742
2025-03-04,-0.004768595915521191,1.2288332320408255,0.2288332320408255
2025-03-05,0.004282613431578817,1.2340958497455339,0.23409584974553388
2025-03-06,0.01206884043015382,1.248989955631628,0.24898995563162796
2025-03-07,0.013373453984576998,1.2656932653304662,0.2656932653304662
2025-03-10,0.003942479157550988,1.2706832346488843,0.27068323464888433
2025-03-11,-0.001431863493716569,1.268863789713113,0.268863789713113
2025-03-12,-0.009498685463716234,1.2568112516783292,0.2568112516783292
2025-03-13,0.002360801638014267,1.2597783337399662,0.25977833373996617
2025-03-14,0.0005518262730669966,1.2604735125227644,0.2604735125227644
2025-03-17,0.0017003002093764806,1.2626166959000205,0.26261669590002046
2025-03-18,0.007200430238581631,1.2717080793369169,0.2717080793369169
2025-03-19,-0.004323183460674983,1.2662102520015208,0.2662102520015208
2025-03-20,-0.0006707061778528417,1.2653609969630428,0.26536099696304283
